gap_id,target_quantity,current_status,why_needed,blocking_for_lumping,blocking_for_EOS,blocking_for_viscosity,preferred_resolution,notes
G16,full_C1plus_reconstruction,INCOMPLETE,"needed to combine gas and recovered-oil fractions into one compositional feed without double counting low-boiling losses",no,yes,yes,"combine measured gas amounts/composition with recovered liquid and explicitly account for low-boiling loss","not required to define or characterize the four recovered-oil lumps, but required before adding gas products to one flow-feed composition"
G17,in_situ_380C_25MPa_phase_composition,NOT_MEASURED,"batch-product SARA/GC after quench is not an equilibrium tie-line measurement at 380 degC and 25 MPa",no,yes,yes,"use independent H2O-hydrocarbon VLE/LLE data for EOS calibration; do not fit EOS directly to post-quench product composition","conceptual distinction required throughout later work"
G18,gas_fraction_normalization_basis,UNRESOLVED_SOURCE_CONSISTENCY,"main text reports H2 = 26.9% at 380C but direct H2-yield/total-gas-yield ratios from ESI Table S3 do not reproduce it",no,yes,no,"check original authors' gas-composition normalization/figure basis or obtain author raw spreadsheet","retain both reported H2 fraction and Table S3 component yields; do not manufacture CH4/CO2/C2+ percentages"
G19,ACS_2023_full_supporting_information,MAIN_ARTICLE_BUNDLE_RECOVERED_SI_NOT_RECOVERED,"could provide detailed paired pure-kerogen run-by-run oil/gas data beyond the main article figures and tables",no,no,no,"obtain ACS SI PDF through institutional/publisher access or author copy","main-text Figures 5 and 6 now provide the initial characterization basis; SI remains useful for validation and source-conflict resolution"
G20,ACS_380C_SARA_aromatic_source_label,SOURCE_FIGURE_INTERNAL_INCONSISTENCY_DOCUMENTED,"needed to prevent a source-figure typo/inconsistency from silently entering property calibration",no,no,no,"retain the direct labels, derive only with explicit status, and prefer SI if later recovered","Figure 6 visibly labels 380C aromatics as 44.80%, but mass closure and the main-text 38.8% saturates+aromatics statement imply 31.56%"
G21,raw_shale_380C_four_lump_mass_fractions,UNRESOLVED_PRIMARY_SAMPLE,"needed if the final production case is to use exact intact-shale rather than paired pure-kerogen fraction weights",no,yes,yes,"obtain same-physical-sample simulated distillation and map it into the already selected four boiling ranges","do not redesign the bins merely because primary fraction weights are missing; update the weights when primary data become available"
G22,lump_Tc_Pc_omega,PROVISIONAL_CHARACTERIZED_TWU_EDMISTER,"required for PR/SW pseudo-component construction",no,no,no,"validate/tune only against high-T/P phase-behavior data while preserving property provenance","initial Tc/Pc/omega values are now stored in pseudo_component_characterization_380c.csv; they are correlation-derived rather than measured critical points"
G23,lump_CPA_association_parameters,UNCHARACTERIZED,"required only if a lump is represented as associating in CPA",no,yes,no,"justify association from chemical characterization and calibrate against phase-equilibrium data","heavy/resin/asphaltene evidence may motivate association, but parameters must not be guessed"
G24,lump_critical_volume,PROVISIONAL_CHARACTERIZED_TWU,"required for complete pseudo-component characterization and corresponding-states/transport work",no,no,yes,"validate indirectly with density/volume-shift/transport data","initial Vc values are 358.5, 824.1, 1318.9 and 1793.9 cm3/mol"
G25,heavy_unresolved_polar_residue,OPEN_HIGH_PRIORITY,"the >500 C fraction contains material not necessarily represented by the GC-visible C38-C74 saturated-like tail",no,yes,yes,"obtain heavy-cut MW/density/TBP residue data and use SARA/PNA or association-aware calibration","current Heavy MW/Tb/SG/Tc/Pc/omega/Vc row is explicitly lower-bound-like/provisional; squalane remains benchmark-only"
G26,H2O_GASOLINE_PR_kijT,SOURCE_LOCATED_RAW_ROWS_PENDING,"mandatory zero-flow binary PR calibration before reservoir entry",no,yes,no,"ingest high-T/P H2O+n-hexane boundary/composition/volume tables and fit production PR kij(T) with hold-outs","Tian 1991 covers 550-700 K and 20-240 MPa; no production BIP accepted yet"
G27,H2O_DIESEL_PR_kijT,SOURCE_LOCATED_RAW_ROWS_AND_DENSITY_PENDING,"mandatory zero-flow binary PR calibration before reservoir entry",no,yes,no,"ingest Stevenson H2O+dodecane VLE/LLE tables plus an adequate density/volume validation dataset; re-fit with repository properties","published Teratani dodecane BIPs are prior-only and cannot be copied directly"
G28,H2O_MIDDLE_PR_kijT,PARTIAL_PROXY_FULL_GATE_NOT_PASSED,"mandatory zero-flow binary PR calibration before reservoir entry",no,yes,no,"use squalane as saturated ECN bracket plus aromatic/naphthenic proxy data and require two-branch/density/boundary hold-out validation","existing H2O-squalane production-flash fit is rejected as final because full validation failed"
G29,H2O_HEAVY_PR_kijT,BLOCKED_NO_ADEQUATE_TARGET_WINDOW_PROXY,"mandatory zero-flow Heavy calibration; flash convergence is not an objective",no,yes,no,"obtain chemically representative >500 C / residue high-T/P VLE/LLE plus density/phase-boundary information near 25 MPa","squalane is benchmark-only; Sato atmospheric-residue VLE at 2.0-10.2 MPa is chemically relevant but insufficient for target 25 MPa Heavy validation"
G30,reservoir_entry_gate,BLOCKED_ZERO_FLOW_PR_CALIBRATION,"prevents unvalidated BIPs from entering flow conclusions",no,yes,no,"all four H2O-lump rows in binary_pr_calibration/reservoir_entry_gate.csv must pass before any reservoir case is promoted or run","current overall state is RESERVOIR_GATE_BLOCKED"
